English,Turkish
bold,"['cüretkar', 'utanmaz', 'korkusuz ']"
bolt,"['cıvata', 'sürgükapı', 'kilit dili']"
bomb,['bomba']
bone,['kemik']
bonfire,"['meydan ateşi', 'şenlik ateşi']"
bonnet,"['çocuk başlığı', 'arabanın kaputu']"
bony,['çok zayıf']
book,['kitap']
booklet,['broşür']
boom,"['patlamak', 'çok hızlı genişlemek']"
boot,"['ayakkabı', 'bot', 'bagaj']"
border,['sınır']
bore,['can sıkmak']
bored,['canı sıkılmış']
boring,['sıkıcı olan']
born,['doğmuş']
borrow,['ödünç almak']
boss,['patron']
both,['ikisi']
bother,"['can sıkmak', 'üzmek']"
bottle,['şişe']
bottom,"['en alt', 'dip']"
bounce,"['yansıtmak', 'zıplatmak top']"
bound,"['bağlı', 'sınırlı', 'atlamak']"
boundary,['sınır']
bow,['yay']
bowl,['tas']
box,"['kutu', 'boks']"
boy,['erkek çocuk']
bra,['sutyen']
brain,['beyin']
brake,"['frenlemek', 'fren']"
branch,"['dal', 'şube', 'kol']"
brand,"['marka', 'lekelemek', 'kötü ün']"
brand-new,"['yeni model', 'yepyeni']"
brass,['pirinç metal']
brave,"['korkusuz', 'cesur']"
bread,['ekmek']
break,['kırmak']
break down,"['yıkmak', 'bozmak', 'sınıflamak']"
breakfast,['kahvaltı']
break-out,"['aniden başlama', 'patlak vermek', 'kaçmak']"
breast,['göğüs']
breath,['nefes']
breathe,['nefes almak']
bribe,['rüşvet']
brick,['tuğla']
bride,['gelin']
bridge,['köprü']
brief,"['kısa', 'özetli']"
briefcase,['iş çantası']
bright,['parlak']
brilliant,"['parlak', 'akıllı']"
bring,['getirmek']
broad,['geniş']
broadcast,['yayın']
brochure,['broşür']
broken,['kırık']
broker,"['komisyoncu', 'simsar']"
brooch,"['broş', 'iğne']"
broom,['süpürge']
brother,"['erkek kardeş', 'ağabey']"
brother-inlaw,['kayınbırader']
brow,['alın']
brown,['kahverengi']
brush,"['fırça', 'fırçalamak']"
bucket,['kova']
budget,"['bütçe', 'bütçe yapmak']"
build,"['inşa etmek', 'yapmak']"
building,['bina']
bulb,['ampul']
bull,['boğa']
bullet,['mermi']
bump,['çarpışma']
bumper,['tampon araba']
bumpy,['engebeli']
bunch,"['deste', 'demet']"
bungalow,['bungalov']
bureau,['büro']
bureaucracy,['bürokrasi']
burglar,['hırsız']
burn,['yanmak']
burst,['patlamak']
bury,['gömmek']
bus,['otobüs']
bush,['çalı']
business,['iş']
busy,['meşgul']
but,['fakat']
butcher,['kasap']
butter,['tereyağ']
button,['düğme']
buy,['satın almak']
by,"['tarafından', 'göre', 'ile']"
by the way,"['bunun yanında', 'aklıma gelmişken']"
cab,['taksi']
cabbage,['lahana']
cabin,['kabin']
cabinet,['kabine']
cable,"['kablo', 'telgraf']"
cage,['kafes']
cake,['kek']
calculate,['hesaplamak']
calendar,['takvim']
calf,"['fil veya balina yavrusu', 'buzağı', 'baldır']"
call,"['çağırmak', 'telefon etmek', 'kısa ziyaret']"
calm,['sakin']
camel,['deve']
camera,['kamera']
camouflage,['saklamak']
camp,['kamp']
campaign,['kampanya']
campus,['kampüs']
can,['teneke kutu']
canal,['kanal']
canary,"['kanarya kuşu', 'kanarya sarısı']"
cancel,['iptal etmek']
cancellation,['iptal']
cancer,['kanser']
candidate,['aday']
candle,['mum']
cannon,['top silah']
canteen,['kantin']
capable,['muktedir']
capacity,['kapasite']
capital,"['sermaye', 'başkent', 'kapital']"
captain,"['kaptan', 'yüzbaşı']"
capture,"['ele geçirmek', 'hapse atmak']"
car,['araba']
caravan,['karavan']
carbon-paper,['karbon kâğıdı']
card,['kart']
cardigan,['hırka']
care,"['dikkat', 'özen']"
career,['meslek']
carefree,['önemsemeyen']
careful,['dikkatli']
careless,['dikkatsiz']
cargo,['kargo']
carnival,['karnaval']
carpenter,['marangoz']
carpet,['halı']
carriage,"['fayton', 'vagon']"
carrier,['taşıyıcı']
carrot,['havuç']
carry,['taşımak']
carryover,['devir']
cartridge,"['kartuş', 'şarjör']"
case,"['kutu', 'kap', 'dava']"
cash,['nakit']
cash-register,['yazar kasa']
castle,['kale']
casual,"['planlanmayan', 'normal', 'sade']"
cat,['kedi']
catch,['yakalamak']
caterpillar,['tırtıl']
cattle,['büyükbaş hayvan']
cauliflower,['karnıbahar']
cause,"['neden', 'neden olmak']"
caution,['uyarı']
cave,['mağara']
cease,['durdurmak']
cease-fire,['ateş-kes']
ceiling,['tavan']
celebration,['kutlama']
cell,"['hücre hapis', 'beyin']"
cellar,"['kiler', 'bodrum']"
cement,['çimento']
central,['merkezi']
centre,"['orta', 'merkez']"
century,['yüzyıl']
cereal,"['tahıl', 'mısır']"
ceremony,['seremoni']
certain,"['kesin', 'belirli', 'emin olmak']"
certainly,['kuşkusuz']
certificate,['sertifika']
chain,['zincir']
chair,"['iskemle', 'sandalye', 'koltuk']"
chairman,['yönetim kurulu başkanı']
chalk,['tebeşir']
challenge,['meydan okuma']
chamber,['iş ağı']
champagne,['şampanya']
champion,['şampiyon']
championship,['şampiyona']
chance,"['şans', 'fırsat']"
change,"['değişmek', 'değişim', 'bozuk para']"
channel,['kanal']
chapter,"['bölüm', 'konu']"
character,['kişilik']
charge,"['doldurmak', 'masrafa yazmak']"
charity,"['hayır severlik', 'yardım severlik']"
charlatan,['şarlatan']
charm,['çekicilik']
charming,['çekici']
chart,"['tablo', 'çizelge']"
charter,"['patent', 'devlet onaylı', 'kiralık taşıt']"
chase,['kovalamak']
chat,"['çene çalmak', 'sohbet']"
chatter,['gevezelik yapmak']
cheap,['ucuz']
cheat,"['hileci', 'hile yapmak', 'kopya çekmek']"
check,['kontrol etmek']
cheek,"['yanak', 'popo']"
cheeky,"['yüzsüz', 'kaba', 'kibar olmayan']"
cheer,"['neşe', 'coşturmak']"
cheerful,"['neşeli', 'şen', 'mutlu']"
cheese,['peynir']
chef,['aşçı']
chemical,['kimyasal']
cheque,['çek']
cherry,['kiraz']
chess,['satranç']
chest,"['göğüs', 'sandık']"
chest of drawers,"['çekmeceli dolap', 'konsül']"
chestnut,['kestane']
chewing-gum,['sakız']
chicken,['piliç']
chief,['şef']
child,['çocuk']
childhood,['çocukluk']
chilli,['çok acı']
chilly,['çok soğuk']
chimney,['baca']
chin,['çene']
china,"['çin', 'çini', 'porselen']"
chip,['ufak parça']
chocolate,['çikulata']
choice,"['seçim', 'istek', 'tercih']"
choke,"['boğma', 'tıkama', 'jikle']"
choose,['seçmek']
chop,"['kesmek', 'yarmak', 'pirzola']"
christian,['hıristiyan']
chuckle,['kıkırdama']
church,['kilise']
cigar,['puro']
cigarette,['sigara']
cinema,['sinema']
circle,"['çember', 'çevre']"
circuit,['devre']
circular,"['yuvarlak', 'çembersel', 'sirküler imza']"
circumstances,"['durum', 'vaziyet']"
circus,['sirk']
citizen,['yurttaş']
city,"['kent', 'site']"
civic,['kente ait']
civil,['sivil']
claim,"['ileri sürmek', 'savunmak']"
claimant,['davacı']
clap,['alkışlamak']
clasp,['sıkıca tutmak']
class,['sınıf']
classic,['klasik']
clay,['kil']
clean,"['temizlemek', 'temiz']"
clear,"['temiz', 'berrak', 'net']"
clerk,['memur']
clever,['akıllı']
client,"['müşteri', 'müvekkil']"
climate,['ıklım']
climb,"['tırmanmak', 'yükselmek']"
clinic,['klinik']
clip,"['klips', 'kırpma', 'toka']"
cloakroom,"['vestiyer', 'tuvalet']"
clock,['saat']
close,['yakın']
cloth,['bez']
clothes,['giysi']
cloud,['bulut']
clown,['palyaço']
club,"['klüp', 'sinek sembollü iskambil kağıdı']"
clue,['ipucu']
clutch,"['debrijaj', 'kavrama']"
co,['beraber']
coach,"['antrenör', 'yolcu vagonu', 'şehirlerarası otobüs']"
coal,['kömür']
coast,"['kıyı', 'sahil']"
coat,['palto']
cobweb,['örümcek ağı']
cock,"['horoz', 'erkek kuş', 'erkeklik organı']"
cocoa,['kakao']
coconut,['hindistan cevizi']
code,['kod']
coffee,['kahve']
coffin,['tabut']
coin,['madeni para']
cold,['soğuk']
collapse,"['çökmek', 'katlamak']"
collar,"['yaka', 'tasma']"
colleague,['meslektaş']
collect,['toplamak']
collective agreement,['toplu sözleşme']
colonel,['albay']
colour,['renk']
column,['sütun']
coma,"['koma', 'koma hali']"
comb,['tarak']
come,['gelmek']
come across,"['tesadüfen karşılaşmak', 'bulmak']"
comet,['kuyruklu yıldız']
comfort,"['konfor', 'rahat']"
comfortable,['konforlu']
command,['kumanda etmek']
commemorate,['kötü bir durumu anmak']
commence,['başlamak']
commercial,"['ticari', 'reklam  filmi ']"
commission,"['komisyon', 'heyet']"
commit,['suç işlemek']
commitment,"['taahhüt', 'sorumluluk']"
common,"['ortak', 'yaygın', 'genel']"
communicate,['iletişim']
community,['toplum']
commute,['işe gidip gelmek']
company,"['şirket', 'beraberlik', 'arkadaşlık']"
comparatively,['mukayeseli olarak']
compare,['mukayese etmek']
compass,"['pusula', 'pergel']"
compensate,"['telafi etmek', 'karşılamak']"
compensation,"['telafi', 'tazminat']"
compete,['yarışmak']
competition,"['yarışma', 'rekabet']"
complain,"['yakınmak', 'şikayet etmek']"
complete,"['tam', 'eksiksiz', 'bütün']"
complicated,"['karışık', 'komplike']"
compliment,"['iltifat', 'kompliman', 'hediye']"
component,"['unsur', 'parça', 'bileşimde bulunan']"
compose,"['yapım şiir', 'şarkı', 'sanat eseri']"
composition,"['kompozisyon', 'birleşik']"
compound,"['birleşik', 'bileşik']"
compromise,['uzlaşma']
computer,"['kompütür', 'bilgisayar']"
concentrate,"['konsantre', 'yoğun']"
concept,"['genel fikir', 'düşünce', 'bakış açısı']"
concern,"['ilgi', 'üzüntü', 'endişe']"
concert,['konser']
conclude,"['sonuca ulaşmak', 'karar vermek']"
conclusion,"['karar', 'sonuç']"
condemn,"['cezalandırmak', 'mahkum etmek']"
condition,"['durum', 'şart']"
conduct,"['davranış', 'tavır', 'yol göstermek']"
cone,"['koni', 'külah dondurma']"
conference,['konferans']
confess,['itiraf etmek']
confidence,['güven']
confine,"['kuşatmak', 'hapsetmek', 'sınırlamak']"
conflict,"['çatışma', 'çelişki']"
confuse,"['kafası karışmak', 'şaşırmak']"
congratulate,['kutlamak']
connect,['birleştirmek']
conquer,['işgal etmek']
conscience,"['vicdan', 'bilinç']"
conscious,['bilinçli']
consent,"['kabul etme', 'onaylama']"
consequently,"['bundan dolayı', 'sonuç olarak', 'sonunda']"
consider,"['göz önüne almak', 'düşünmek']"
consideratio n,"['düşünüş', 'tartış']"
consign,"['satış için gönderme', 'başkasına devretme']"
consist,['oluşmak']
consistent,"['tutarlı', 'uyumlu kişi', 'yazı']"
constitute,"['oluşmak', 'kurmak']"
constitution,['anayasa']
construct,"['inşa etmek', 'yapmak']"
consul,['konsolos']
consult,['danışmak']
consultation,"['toplantı', 'konsültasyon']"
consume,['tüketmek']
consumption,['tüketim']
contact,"['temas', 'dokunma']"
contain,['kapsamak']
container,['kap']
content,['tatmin olmuş']
contents,['içerik']
contest,['yarışma']
continent,['kıta']
continuous,['sürekli']
contract,"['kontrat', 'anlaşma']"
contrary,"['tersine', 'zıddına']"
contrast,['karşılaştırmak']
contribute,['katkıda bulunmak']
control,"['kontrol etmek', 'yönetmek']"
convenience,"['uygunluk', 'kolaylık']"
convenient,"['elverişli', 'uygun']"
conversation,['söyleşi']
convict,"['mahkum', 'suçlu']"
convince,['ikna etmek']
cook,"['aşçı', 'yemek pişirmek']"
cool,"['serin', 'serinletmek', 'soğutmak']"
co-operate,['birlikte çalışmak']
cop,['polis']
cope,"['başa çıkmak', 'ayak uydurmak']"
copper,['bakır']
copy,"['kopyalamak', 'taklit etmek']"
cordon,['kordon']
cork,['mantar']
corn,"['ekin', 'mısır', 'nasır']"
corner,['köşe']
corpse,['ceset']
correct,"['hatasız', 'düzeltmek']"
correspondent,"['mektuplaşan', 'muhabir']"
corridor,['koridor']
corruption,"['rüşvetçilik', 'yolsuzluk']"
cosmetic,['kozmetik']
cost,"['maliyet', 'mal olmak']"
costly,['pahalı']
costume,['kostüm']
cottage,['köy evi']
cotton,['pamuk']
cough,['öksürmek']
council,['konsey']
count,['saymak']
country,"['ülke', 'kırsal alan']"
coupe,['spor araba']
couple,"['çift', 'bir kaç']"
coupon,['kupon']
courage,['cesaret']
course,"['gidişat', 'kurs']"
court,"['mahkeme', 'kort']"
cousin,['kuzen']
cover,['kaplamak']
cow,['inek']
coward,['korkak']
crack,['kırmak']
cracker,['kraker']
cramp,['kramp']
crane,"['vinç ile kaldırmak', 'vinç']"
crash,"['çarpışmak sertçe', 'çarpıştırmak']"
crazy,['çılgın']
cream,"['krema', 'krem', 'kirli beyaz']"
creation,['yaratış']
creature,['yaratık']
credit,['kredi']
crime,['suç']
criminal,['suçlu']
crisis,['kriz']
crisp,"['gevrek', 'canlı', 'taze']"
critical,['kritik']
criticize,['eleştirmek']
crocodile,['afrika timsahı']
crop,['ürün toprak ürünü']
cross,"['karşıdan karşıya geçmek', 'çaprazlama', 'haç']"
crossing,['geçit']
crossroads,['kavşak']
crossword,['çapraz bulmaca']
crow,"['karga', 'horoz ötüşü']"
crowd,['kalabalık']
crown,['taç']
crucial,['en önemli']
crude,['petrol']
cruel,['zalim']
cruise,"['deniz gezisi', 'kıtalararası silah']"
crush,['kırmak']
cry,"['bağırmak', 'ağlamak']"
cu ltivate,['toprakla uğraşmak']
cu rse,['lanet']
cu rtain,['perde']
cube,['küp']
cucumber,['hıyar']
culture,['kültür']
cup,"['fincan', 'kupa']"
cure,"['iyileştirmek', 'tedavi', 'işlem']"
curiosity,['merak']
curious,"['meraklı', 'olağan dışı']"
curl,['kıvırmak']
current,"['akım', 'cari', 'kur']"
curry,['hafif acılı']
curve,['eğri']
cushion,['yastık']
custom,['gelenek']
customer,"['alıcı', 'müşteri']"
customs,['gümrük']
cut,['kesmek']
cycle,"['bisiklet', 'tur']"
cylinder,['silindir']
dad,['baba']
daily,['günlük']
daisy,['papatya']
dam,['baraj']
damage,"['zarar', 'zarar vermek']"
damp,['nemli']
dance,['dans']
danger,['tehlike']
dangerous,['tehlikeli']
dare,"['cesaretli', 'cürretkar', 'meydan okumak']"
dark,"['karanlık', 'koyu', 'siyah tenli']"
darling,['sevgili']
dash,"['fırlamak', 'tire işareti']"
date,"['hurma', 'randevu']"
daughter,['kız çocuk']
day,['gün']
dead,['ölü']
deadline,"['mühlet', 'son teslim tarihi']"
deadlock,"['çıkmaz', 'açmaz']"
deaf,['sağır']
deal,"['alıp satmak', 'iş yapmak']"
dear,"['sevgili', 'sevilen', 'pahalı']"
death,['ölüm']
debatable,['tartışabilmek']
debate,['tartışma']
debt,['borç']
decay,"['çürümek', 'bozulmak']"
deceive,['kandırmak']
december,['aralık ayı']
decent,"['doğru', 'haklı', 'iyi']"
decide,['karar vermek']
decision,['karar']
declare,['açıklamak']
decline,"['azaltmak', 'gerilemek', 'düşmek']"
decorate,"['döşemek', 'dekore etmek']"
decrease,['azalmak']
deed,"['eylem', 'tapu']"
deep,['derin']
deer,['geyik']
default,['varsayılan']
defeat,"['mağlubiyet', 'savaşta']"
defence,"['savunma', 'defans']"
defend,['savunmak']
defer,"['geciktirme', 'erteleme']"
deficit,['hesap açığı']
definite,"['kesin', 'belirli']"
definition,['tanımlama']
degree,['derece']
delay,"['geciktirmek', 'ertelemek']"
deliberately,['kasten']
delicate,['nazik']
delicious,['lezzetli']
delight,['hoşnutluk']
delightful,['hoşnut edici']
deliver,"['dağıtmak', 'dağıtım']"
demand,"['istek', 'talep', 'ihtiyaç']"
demolish,"['yıkmak', 'parçalamak']"
demonstrate,['açıkça göstermek']
demonstration,['gösteri']
demoralize,"['cesaretini kırmak', 'moral bozmak']"
dentist,['dişçi']
deny,"['inkar etmek', 'yalanlamak']"
depart,['ayrılmak']
department,"['bölüm', 'departman']"
depend,"['bağımlı olmak', 'ihtiyacı olmak']"
dependent,['bağımlı']
deposit,['depozit']
depress,['bunaltmak']
depth,['derinlik']
deputation,['vekillik']
deputy,['vekil']
describe,"['tanımlamak', 'betimlemek']"
desert,"['çöl', 'haksız yere terk etmek']"
deserve,"['hakketmek', 'layık olmak']"
design,['dizayn']
desire,['arzu']
desk,"['sıra', 'masa']"
despair,['ümitsizlik']
desperate,"['umutsuz', 'çok ciddi']"
despite,['rağmen']
dessert,['tatlı yiyecek']
destination,['varış noktası']
destroy,['yıkmak']
destruction,['yıkım']
detach,['ayırmak']
detail,"['ayrıntı', 'detay']"
detective,['dedektif']
determined,['azimli']
develop,"['gelişmek', 'büyümek', 'resim basmak']"
development,['gelişme']
devil,['şeytan']
dew,['kırağı nem']
