ingilizce,okunuş
assurance,eşu rıns
assure,eşuır
assured,eşurıd
astonish,estoniş
at,et
atmosphere,etmosfiır
attach,eteç
attachment,etapmınt
attack,etek
attempt,etempt
attend,etend
attendant,ıtendınt
attention,etenşın
attitude,etitüud
attractive,etrektiv
auction,okşın
audience,odyıns
augment,ogment
augmentation,ogmentetişın
august,ogust
aunt,aant
author,othır
authority,othoriti
autumn,otumn
available,eveylıbl
avenue,evenyu
average,evirıç
avoid,evoid
awake,eveyk
award,ivood
aware,eveyr
away,evey
awful,oful
awkward,okvırd
axe,eks
baby,beybi
babysitter,beybisitır
bachelor,bepılır
back,bek
backbone,bekbon
background,bekraund
backward,bekvörd
bad,bed
badly,bedli
bag,beg
baggage,begıc
bake,beyk
baker,beykır
balance,belıns
balcony,belkıni
bald,bold
bale,beyl
ball,bol
ballerina,belıriinı
ballet,baley
balloon,baluun
ban,ben
banal,bınaal
banana,bınana
band,bend
bandage,bendıp
baneful,beynful
banish,beniş
bank,benk
banker,benkır
banknote,benknot
bankrupt,benkrapt
bar,bar
barbarous,barbırıs
barber,baabır
bare,beyr
bargain,bargın
barrel,berıl
base,beys
basement,beysmınt
basin,beysın
basket,baskıt
bastardize,bestırdayz
bath,bath
bathe,beth
battery,betıri
battle,betl
bawl,bavıl
bay,bey
beach,biiç
bean,biin
bear,beır
beard,bıed
beast,biist
beat,biit
beautiful,büutiful
beauty,büuti
because,bikoz
become,bıkam
bed,bed
bee,bii
beef,biif
beer,biır
beetle,biitl
before,bifor
beforehand,biforhend
beg,beg
begin,begin
behave,biheyv
behind,bihaynd
being,biing
believe,biliiv
bell,bel
belong,bilong
below,bilov
belt,belt
bench,benç
bend,bend
beneath,binith
benefit,benifit
berry,beri
beside,bisayd
besides,bisaydz
best,best
bet,bet
better,better
between,bitviin
beyond,biyand
bias,bays
bicycle,baysikl
big,big
bike,bayk
bill,bil
bin,bin
bind,baynd
bird,börd
birth,börth
birthday,börthdey
biscuit,biskit
bishop,bişıp
bit,bit
bite,bayt
black,blek
bladder,bledır
blade,bleyd
blame,bleym
blank,blenk
blanket,blenkıt
blast,blast
bless,bles
blind,blaynd
blister,blistır
block,blok
blockade,blokeyd
blood,blad
bloom,bluum
blouse,blauz
blow,blou
blue,blu
bluff,blaf
board,boord
boast,boust
boat,bout
body,badi
bodyguard,badigard
boil,boil
boiler,boylır
bold,bould
bolt,bolt
bomb,bomb
bone,boun
bonfire,bonfayır
bonnet,bonıt
bony,boni
book,buk
booklet,buklıt
boom,buum
boot,buut
border,bordır
bore,bor
bored,bord
boring,boring
born,born
borrow,borou
boss,bos
both,bouth
bother,bodır
bottle,botl
bottom,botım
bounce,bauns
bound,baund
boundary,baundri
bow,bou
bowl,boul
box,boks
boy,boy
bra,bra
brain,breyn
brake,breyk
branch,branp
brand,brend
brand-new,brend niyu
brass,bras
brave,breyv
bread,bred
break,breyk
break down,brek davn
breakfast,brekfıst
break-out,brek aut
breast,brest
breath,breth
breathe,brith
bribe,brayb
brick,brik
bride,brayd
bridge,bric
brief,briif
briefcase,brifkeys
bright,brayt
brilliant,brilyınt
bring,bring
broad,brood
broadcast,broodkast
brochure,brıuşır
broken,brıukın
broker,brıukır
brooch,broş
broom,bruum
brother,bradır
brother-inlaw,bradır in lo
brow,brau
brown,braun
brush,braş
bucket,bakıt
budget,bacıt
build,bild
building,bilding
bulb,balb
bull,bul
bullet,bulıt
bump,bamp
bumper,bampir
bumpy,bampi
bunch,banç
bungalow,banglou
bureau,büuro
bureaucracy,bürakresi
burglar,börglır
burn,börn
burst,börst
bury,böri
bus,bas
bush,buş
business,biznıs
busy,bizi
but,bat
butcher,butçır
butter,batır
button,batn
buy,bay
by,bay
by the way,bay dı vey
cab,keb
cabbage,kebic
cabin,kebin
cabinet,kebınıt
cable,keybl
cage,keyc
cake,keyk
calculate,kalkuleyt
calendar,kelindir
calf,kaıf
call,kol
calm,kaam
camel,keml
camera,kemira
camouflage,kamuflaaj
camp,kemp
campaign,kempein
campus,kempis
can,ken
canal,knal
canary,kıneri
cancel,kensil
cancellation,kensıleyşın
cancer,kensir
candidate,kendidit
candle,kendl
cannon,kenın
canteen,kantiin
capable,keypıbıl
capacity,kpasiti
capital,kepitl
captain,keptin
capture,kepçır
car,kaar
caravan,karavan
carbon-paper,karbın peypır
card,kaad
cardigan,kardigin
care,keyr
career,kariir
carefree,keyfri
careful,keyrfıl
careless,keyrlıs
cargo,kargo
carnival,karnivil
carpenter,karpintir
carpet,kaarpit
carriage,keriic
carrier,keriyır
carrot,kerıt
carry,keri
carryover,keriovır
cartridge,kartrıp
case,keys
cash,keş
cash-register,keş-recıstır
castle,kesl
casual,keşuıl
cat,ket
catch,keç
caterpillar,ketırpilır
cattle,ketl
cauliflower,koliflavır
cause,koz
caution,koşın
cave,keyv
cease,siis
cease-fire,siis-fayır
ceiling,silign
celebration,selibreyşın
cell,sel
cellar,selır
cement,sıment
central,sentrıl
centre,sentır
century,sençri
cereal,siyriyıl
ceremony,serımıni
certain,sörtın
certainly,sörtınli
certificate,sertıfıkeyt
chain,çeyn
chair,çeır
chairman,çeırmen
chalk,çolk
challenge,çalınc
chamber,çembır
champagne,şempeyn
champion,çempiın
championship,çempiınşip
chance,çens
change,çeync
channel,çenıl
chapter,çeptır
character,kerıktır
charge,çarc
charity,çerıti
charlatan,carlıtın
charm,çarm
charming,çarming
chart,çart
charter,çartır
chase,çeys
chat,çet
chatter,çetır
cheap,çiip
cheat,çiit
check,çek
cheek,çiik
cheeky,çiki
cheer,çiır
cheerful,çiirful
cheese,çiiz
chef,şef
chemical,kemıkl
cheque,çek
cherry,çeri
chess,çes
chest,çest
chest of drawers,çest of drevır
chestnut,çesnat
chewing-gum,çuving gam
chicken,çikın
chief,çif
child,çayld
childhood,çayldhuud
chilli,ciliy
chilly,çiliy
chimney,çimni
chin,çin
china,çaynı
chip,çip
chocolate,çaklıt
choice,çoyıs
choke,çhok
choose,çuz
chop,cop
christian,krisçın
chuckle,çakıl
church,çörç
cigar,sigaar
cigarette,sigıret
cinema,sinıma
circle,sörkl
circuit,sörkıt
circular,sörkulır
circumstances,sörkımstensı s
circus,sörkıs
citizen,sitizn
city,siti
civic,sivik
civil,sivl
claim,kleym
claimant,klemınt
clap,klep
clasp,klasp
class,klas
classic,klesik
clay,kıley
clean,kliin
clear,kliır
clerk,klark
clever,klevır
client,klaynt
climate,klaymıt
climb,klaymb
clinic,klınik
clip,klip
cloakroom,kloukrum
clock,klok
close,klous
cloth,kloth
clothes,klouthz
cloud,klaud
clown,klaun
club,klab
clue,klu
clutch,klap
co,ko
coach,kouç
coal,kol
coast,kost
coat,kout
cobweb,kobveb
cock,kak
cocoa,koko
coconut,kokonat
code,kod
coffee,kafi
coffin,kofin
coin,koin
cold,kould
collapse,kıleps
collar,kolır
colleague,koliig
collect,kolekt
collective agreement,kollektiv egrimınt
colonel,körlnıl
colour,kalır
column,kolım
coma,komı
comb,kom
come,kam
come across,kam ekros
comet,kamit
comfort,kanfırt
comfortable,kanfırtıbıl
command,komand
commemorate,kımemoreyt
commence,kımens
commercial,kımörşıl
commission,kamişın
commit,kımit
commitment,komitmınt
common,kamın
communicate,kımyunikey t
community,komüniti
commute,kımyut
company,kampany
comparatively,kımpırativli
compare,kımpeyr
compass,kampıs
compensate,kompınseyt
compensation,kompınsey şın
compete,kımpiit
competition,kompitişn
complain,kımpleyn
complete,kımpliit
complicated,komplıkeyt ıd
compliment,komplimınt
component,kımponınt
compose,kımpoz
composition,kompızişın
compound,kompaund
compromise,komprımay z
computer,kompitür
concentrate,konsıntreyt
concept,konsept
concern,konsöön
concert,kansıt
conclude,konkluud
conclusion,kınkıluşın
condemn,kındem
condition,kındişın
conduct,kondakt
cone,kon
conference,konfırıns
confess,kınfes
confidence,konfidıns
confine,kınfayn
conflict,konflıkt
confuse,kınfüuz
congratulate,kongraçuleyt
connect,konekt
conquer,konkuır
conscience,konşıns
conscious,konşıs
consent,kınsent
consequently,konsikvıntl y
consider,konsidır
consideratio n,konsidıreyşı n
consign,kınsayn
consist,kınsist
consistent,kansıstınt
constitute,konstituut
constitution,konstituşın
construct,kınstrak
consul,konsl
consult,kınsalt
consultation,konslteyşın
consume,kınsyuum
consumption,kınsomşın
contact,kontekt
contain,konteyn
container,konteynır
content,kontent
contents,kontents
contest,kontest
continent,kontınınt
continuous,kontinuıs
contract,kontrekt
contrary,kontrıri
contrast,kıntrast
contribute,kıntrıbiyut
control,kontroul
convenience,konvinyıns
convenient,konvinyınt
conversation,konverseyşı n
convict,konvıkt
convince,kınvins
cook,kuuk
cool,kuul
co-operate,koopereyt
cop,kap
cope,kop
copper,kapır
copy,kopi
cordon,kordın
cork,kook
corn,korn
corner,kornır
corpse,korps
correct,korekt
correspondent,korıspondı nt
corridor,koridoor
corruption,kırapşın
cosmetic,kozmetik
cost,kost
costly,kostli
costume,kostiyum
cottage,kotıc
cotton,kotn
cough,kof
council,kaunsl
count,kaunt
country,kantri
coupe,kupe
couple,kapıl
coupon,kuupon
courage,karıc
course,kors
court,kort
cousin,kazn
cover,kavır
cow,kau
coward,kauırd
crack,krek
cracker,krekır
cramp,kremp
crane,kreyn
crash,kreş
crazy,kreyzi
cream,kriim
creation,krieyşın
creature,kriiçır
credit,kredit
crime,kraym
criminal,kriminl
crisis,kraysız
crisp,krisp
critical,kritikıl
criticize,kritisayz
crocodile,krokıdayl
crop,krop
cross,kros
crossing,krosing
crossroads,krosroudz
crossword,krosvörd
crow,kro
crowd,kraud
crown,kraun
crucial,kuruşıl
crude,crud
cruel,kruıl
cruise,kruuz
crush,kraş
cry,kray
cu ltivate,kaltıveyt
cu rse,körs
cu rtain,körtn
cube,küub
cucumber,küukambır
culture,kalçır
cup,kap
cure,küur
curiosity,küriositi
curious,küriyıs
curl,körl
current,karınt
curry,köri
curve,körv
cushion,kuşın
custom,kastım
customer,kastımır
customs,kastımz
cut,kat
cycle,saykl
cylinder,siylındır
dad,ded
daily,deyli
daisy,deyzi
dam,dem
damage,demıp
damp,demp
dance,dens
danger,deyncır
dangerous,deyncrıs
dare,deyr
dark,dark
darling,daling
dash,deş
date,deyt
daughter,dotır
day,dey
dead,ded
deadline,dedlayn
deadlock,dedlok
deaf,def
deal,diıl
dear,diır
death,deth
debatable,dibeytıbıl
debate,dibeyt
debt,det
decay,dikey
deceive,dısiiv
december,dısembır
decent,disınt
decide,disayd
decision,dısijn
declare,dikleır
decline,diklayn
decorate,dekıreyt
decrease,dikriis
deed,diid
deep,diip
deer,diır
default,difolt
defeat,dıfiit
defence,difens
defend,difend
defer,diför
deficit,defisit
definite,defınit
definition,defineyşın
degree,dıgrii
delay,dıley
deliberately,dilibirıtli
delicate,delikıt
delicious,dılişıs
delight,dılayt
delightful,dılaytful
deliver,delivır
demand,dimend
demolish,dımoliş
demonstrate,demonstreyt
demonstration,demonstreyş ın
demoralize,dimorılayz
dentist,dentist
deny,dınay
depart,dıpart
department,dıpartmınt
depend,dıpend
dependent,dıpendınt
deposit,dıpozıt
depress,dıpres
depth,depth
deputation,deputeyşın
deputy,depyuti
describe,dıskrayb
desert,dezırt
deserve,dızörv
design,dızayn
desire,dızayr
desk,desk
despair,dıspeır
desperate,despırit
despite,dıspayt
dessert,dızört
destination,destıneyşın
destroy,dıstroy
destruction,dıstrakşın
detach,ditap
detail,diteyl
detective,dıdektiv
determined,dıtörmind
develop,dıvelop
development,dıvelopmınt
devil,devl
dew,düu
diagram,dayıgrım
dial,dayıl
diameter,dayametır
diamond,daymınd
diary,dayri
dice,days
dictator,dıkteytır
dictionary,dikşınri
die,day
diet,dayt
difference,difrıns
different,dıfrınt
difficult,dıfıkılt
dig,dig
digest,daycest
dim,dim
dinner,dinır
dip,dıp
diploma,dıploumı
diplomat,dıplımat
direct,direkt
direction,dırekşn
director,direktir
directory,direktiri
dirt,dört
dirty,dörti
disadvantage,disadvantıc
disagree,disıgrii
disappear,disıpiır
disappoint,disıpoint
disaster,dızastır
disc,disk
discipline,disiplin
disc-jockey,disk cokey
disclose,diskloz
disco,disko
discover,diskavır
discuss,dıskas
disease,diziiz
disgust,dısgast
dish,diş
dismay,dismey
dismiss,dismis
disobey,disıbey
dispatch,dispep
displace,displeys
display,displey
dispose,dispouz
dispute,dıspüut
distance,distıns
distant,distınt
distinct,distinkt
distinction,dıstingşın
distinguish,distinguviş
distribute,distribüut
district,distrikt
disturb,distörb
dive,dayv
diver,dayvır
divide,divayd
division,divijn
divorce,dıvöös
dizzy,dizi
do,do
dock,dok
doctor,daktır
document,dokümınt
dog,dog
doll,dol
domestic,dımestik
dominate,domineyt
donate,doneyt
donation,doneyşın
donkey,donki
donor,donır
doom,duum
doomsday,duumsdey
door,door
dose,dos
double,dabl
doubt,daut
down,daun
down payment,davn peymınt
doze,doz
dozen,dozen
draft,draaft
drag,dreg
dragon,dregın
drain,dreyn
drama,draam
draught,draaft
draughts,draafts
draw,drov
drawer,drovır
drawn,droovn
dreadful,dredfl
dreadfully,dredfıli
dream,driim
dress,dres
drill,dril
drink,drink
drive,draıv
drop,drop
drug,drag
drum,dram
drunk,drank
dry,dray
duck,dak
duckling,dakling
due,düu
duel,duyıl
dull,dal
dust,dast
dustbin,dastbın
duty,düuti
dye,day
dynamite,daynımeyt
dynamo,daynımu
dynasty,dınısti
e.g.,i.ci.
each,iiç
eager,iigır
eagle,igıl
ear,iır
early,örli
earn,örn
earnest,örnıst
earth,örth
earthquake,örthkveik
ease,iiz
east,iist
easy,iizi
eat,iit
echo,ekou
economical,ikınomikl
edge,ec
editor,editır
educate,ecukeyt
eel,iil
effect,ıfekt
efficient,ıfışınt
effort,efıt
egg,eg
elapse,ileps
elastic,ılestik
elbow,elbou
elder,eldır
elect,ılekt
election,ılekşın
electricity,ılektrisiti
elegant,elıgınt
elementary,elımentri
elephant,elıfınt
else,els
elsewhere,elsver
embark,imbark
embarrassme nt,imbarısmınt
embassy,embısi
embrace,imbreys
emerge,ımörc
emergency,ımörcınsi
emigrate,emıgreyt
emotion,imoşın
emphasis,emfisıs
emphasize,emfısays
emphatic,imfetik
empire,empayır
employ,ımploy
employee,ımployi
employer,ımployır
employment,ımploymınt
empty,empti
enclose,ınklouz
encourage,ınkarıc
end,end
endorsement,indoosmint
enemy,enımi
energy,enırci
engage,engeyc
engine,encin
enjoy,ıncoy
enormous,inormiyus
enough,inaf
enter,enter
enterprise,entıprayz
entertain,entıteyn
entertainmen t,entıteynmınt
entitle,intaytıl
entrance,entrıns
envelope,ınvılop
epitaph,epitaf
equal,ikuıl
equality,ikualiti
equalize,ilkvılayz
equip,ikvip
equipment,ikvıpmınt
erect,irekt
error,erır
escalator,eskıleytır
escape,ıskeyp
escort,eskort
especial,ıspeşl
essential,ısenşıl
establish,ıstabliş
estate,ısteyt
estimate,estımeyt
evacuate,ıveküueit
even,ivın
evening,ivning
event,ivent
eventually,ivençuıli
ever,evır
every,evri
evidence,evidıns
evil,ivl
evolution,ivulişın
ex,eks
exact,ıgzekt
exactly,ıgzekli
exaggerate,ıgzacıreyt
examine,ıgzamin
example,ıgzempl
exceed,iksid
excellent,eksılınt
except,ıksept
exception,ıksepşın
exchange,ıksçeync
excite,ıksayt
exclaim,ikskleym
exclude,eksklud
exclusive,iksklusiiv
excuse,eksküuz
execute,eksikiyut
exercise,eksısayz
exhaust,igzoost
exhibit,igzıbit
exhibition,ekzıbişın
exist,ıgzist
exit,eksit
expand,ıkspend
expansion,ıkspanşın
expect,ekspekt
expense,ekspens
expensive,ekspensiv
experience,ıkspiriıns
experiment,ıksperımınt
expert,ekspört
expire,ikspayır
explain,ıkspleyn
explanation,eksplıneyşın
explode,ıksploud
explore,ıksplor
explosive,iksplıusiv
export,eksport
express,ıkspres
expression,ıkspreşın
extend,ıkstend
extension,ıkstenşn
extent,ıkstent
extinguish,ikstingvişh
extra,ekstrı
extract,ıkstekt
extraordinary,ıkstrordinıri
extreme,ikstriim
eye,ay
eyebrow,aybrau
eyelash,ayleş
eyelid,aylid
fable,feybıl
fabulous,febulıs
face,feys
fact,fek
factory,fektri
fade,feyd
fail,feyl
failure,feylır
faint,feynt
fair,feır
fairly,feıli
faith,feyth
faithful,feythful
fake,feyk
fall,fol
false,fols
fame,feym
familiar,fımiliır
family,femıli
famous,feymıs
fan,fen
fanatic,fınıtik
fancy,fensi
fantastic,fentestik
far,far
fare,feır
farm,fam
farther,fardır
fashion,feşn
fast,fast
fasten,fasn
fat,fet
fate,feyt
father,fadır
fault,folt
faultless,foltlıs
faulty,folti
favour,feyvır
favourable,feyvırıbl
favourite,feyvrıt
fear,fiır
fearful,fiıfl
feather,fedır
feature,fiiçır
february,february
fed up,fedap
federal,fedırıl
fee,fii
feed,fid
feel,fiil
fellow,felıu
female,fimeyl
fence,fens
ferry,feri
fertile,förtaıl
fertilize,förtılaız
festival,festıvıl
fetch,feç
fever,fivır
few,füu
fiance,fiansey
fiction,fikşın
field,fiild
fig,fig
fight,fayt
figure,figır
file,fayl
fill,fil
film,film
final,faynl
finally,faynıli
finance,faynens
find,faynd
fine,fayn
finger,fingir
finish,finiş
fire,fayır
fire- brigade,fayı-brigeyd
firm,förm
first,först
fiscal,fiskıl
fish,fiş
fist,fist
fit,fit
fix,fiks
flag,fleg
flake,fleyk
flame,fleym
flash,fleş
flat,flet
flavour,fleyvır
flea,flii
flee,flii
fleet,fliit
flesh,fleş
flight,flayt
flipper,flipır
float,flout
flock,flok
flood,flad
floor,floor
florist,florist
flour,flauır
flower,flauır
fluent,flüınt
fly,flay
foam,fom
foam rubber,fom rabir
fog,fog
fold,fould
folk,folk
follow,folou
fond,fond
food,fuud
fool,fuul
foolish,fuuliş
foot,fuut
football,futbool
footprint,futprint
for,for
forbid,forbid
force,fors
forecast,forkast
forehead,forıd
foreign,forın
foreman,formin
forest,forıst
forever,firevir
forge,forp
forger,forcir
forget,fıget
forgive,fıgiv
fork,fork
form,form
formal,formil
former,formır
forthwith,forthvit
fortnight,fortnayt
fortune,forçın
forward,forvıd
foul,fol
found,faund
foundation,faundeyşın
fountain,fauntın
fountain-pen,fauntın pen
fox,foks
fragile,frepayil
frame,freym
frank,frenk
free,frii
freedom,friidım
freeze,friz
freight,freyt
fresh,freş
friday,fraydey
fridge,fric
friend,frend
friendly,frendli
fright,frayt
frighten,fraytn
frog,frog
from,from
front,frant
frontier,frantier
frown,fraun
fruit,fruut
fry,fray
fugitive,fiucitiv
full,ful
full stop,fulstop
fun,fan
fund,fand
fundamental,fandımentıl
funeral,füunırıl
funny,fani
fur,för
furnish,förniş
further,fördır
furthermore,fördırmor
fuse,füuz
fuss,faas
future,füuçır
gain,geyn
gallery,gelıri
gamble,gembl
game,geym
gang,geng
gaol,jeil
gap,gep
garage,garaaj
garden,gadn
garlic,gaalik
gas,ges
gate,geyt
gather,gedir
gay,gey
gear,giır
general,cenril
generally,cenrili
generous,cenris
genius,ciniis
gentle,centl
gentleman,centlmin
germ,cörm
get,get
ghost,gost
gift,gift
gigolo,jigolo
ginger,cincır
gipsy,cipsi
girl,görl
give,giv
glad,gled
gladly,gledli
glass,glas
globe,glob
glorious,gloriıs
glory,glori
glove,glav
glue,glu
go,go
goal,gol
goat,gout
god,gad
gold,gould
golden,gouldın
goldfish,gouldfiş
good,gud
good-looking,gud luking
goose,guus
gosh,goş
gossip,gosip
govern,gavn
government,gavınmınt
graduate,grecueyt
grain,greyn
grand,grend
grape,greyp
grapefruit,greypfruut
grasp,grasp
grass,gres
grateful,greytıfıl
grave,greyv
gravestone,grıyvıstun
graveyard,greyvyard
great,greyt
green,griin
greengrocer,gıringırosır
greeting,griiting
grey,grey
grill,gril
grip,grip
grocer,grousır
groom,gruum
ground,graund
group,gruup
grow,grov
grumble,grambıl
guarantee,garentii
guard,gard
guerrilla,gırilı
guess,ges
guest,gest
guide,gayd
guided missile,gaydıd misayl
guilt,gilt
guitar,gitaar
gulf,galf
gum,gam
gun,gan
guy,gay
habit,hebit
habitat,hebıtıt
hail,heyl
hair,heyr
hairdresser,herdresır
hairdryer,herdrayır
half,half
hall,hol
halt,halt
hammer,hemır
hand,hend
hand grenade,hend grineid
handbag,hendbeg
handicap,hendikap
handkerchief,hengırçif
handle,hendıl
handsome,hendsım
handwriting,hendrayting
hang,heng
hang on,hengon
hangar,hengır
happen,hepın
happy,hepi
harbour,harbır
hard,hard
hardly,hardli
harm,harm
harmful,harmful
harvest,harvıst
haste,heyst
hat,het
hate,heyt
have,hev
hawk,hovk
hazard,hezırd
head,hed
head quarters,hedkuartırs
headache,hedeyk
headline,hedlayn
headphone,hedfon
health,helth
healthy,helthi
hear,hiir
heart,hart
heat,hiit
heater,hiitır
heaven,hevın
heavy,hevi
hectare,hektar
heel,hiıl
height,hayt
heir,eır
hell,hel
help,help
hen,hen
here,hiır
heritage,heritıc
hero,hiro
hesitate,heziteyt
hiccup,hikap
hide,hayd
high,hay
hijack,haycek
hijacker,haycekır
hill,hil
hinge,hinp
hire,hayır
history,histri
hit,hit
hitch-hike,hiçhayk
hobby,hobi
hold,hold
hold on,hold on
hole,hol
holiday,holidey
hollow,halou
holy,holi
home,hom
homesick,houmsik
honest,anıst
honey,hani
honeymoon,hanimuun
honour,anır
hook,huuk
hop,hap
hope,houp
hopeless,houplıs
horizon,hırayzın
horizontal,horizantıl
horn,horn
horrible,haribl
horse,hors
hose,hoz
hospital,haspitl
host,houst
hostage,hastıc
hostel,hastl
hot,hat
hotel,houtel
hour,auır
hourly,auıli
house,haus
housewife,haus vayf
hover,havır
how,hav
however,hauevır
hubbub,habab
hug,hag
huge,hüyp
hum,ham
human,huiymın
humble,hambl
humour,hüumır
hungry,hangri
hunt,hant
hurry,hari
hurt,hört
husband,hazbınd
hush,haş
hut,hat
ice,ays
ice-cream,ays kriim
icy,aysi
idea,aydiı
ideal,aydiıl
identical,aydentikl
identify,aydentifay
idiot,idyıt
idle,aydl
if,if
ignition,ignişın
ignore,ignoor
ill,il
illegal,illigıl
illustrate,ilıstreyt
image,imıc
imagination,imecıneyşın
imagine,imecın
imitate,imiteyt
imitation,imiteyşın
immediate,immidiıt
immense,imens
immigrate,imigreyt
immoral,imorıl
impair,impeyır
impatient,impeyşınt
implement,ımplımınt
imply,implay
impolite,impolayt
import,import
importance,importıns
important,importınt
impossible,imposıbl
impress,impıres
impression,impreşn
impressive,impıresiv
improve,impruuv
improvement,impruuvmınt
in,in
in order to,in ordır to
incentive,insentiv
incident,insidınt
incidentally,insidentli
include,inkluud
income,inkım
incorrect,ınkırekt
increase,inkriiz
incredible,inkredıbl
indeed,indiid
indefinite,indefinıt
indefinitely,indefinitli
indemnify,indemnifaı
indemnity,indemniti
independent,ındıpendınt
index,indeks
indicate,indikeyt
individual,indivicul
indoor,indor
indorse,indoos
industry,indastri
inevitable,ınevitibl
inferior,infiıriır
infinite,ınfinit
inflammable,inflemibil
inflate,infleyt
inflation,infleyşin
inflexible,infleksibil
influence,ınfluıns
inform,infoom
informal,infoomıl
information,infımeyşın
initial,inişil
initiative,inişitiv
inject,incekt
injure,incır
ink,ink
inn,in
innocent,inisint
inquire,inkvayr
inquiry,inkuaıri
insect,insekt
insecure,insikuir
inside,insayd
insist,insist
insolvent,insolvint
inspect,inspekt
inspector,inspektır
inspire,inspayir
install,instol
instance,instıns
instant,instint
instead of,insted ov
institute,instıtüut
instruction,instrakşn
instrument,instrumınt
insu lt,insalt
insulate,insuleyt
intangible,intancibıl
intelligent,intelicınt
intend,intend
intense,intens
intensive,intensiv
intention,intenşın
interest,interest
interesting,intresting
interfere,interfir
intermediate,intımidiıt
international,intıneyşınıl
interpret,intörprıt
interrupt,intırapt
interval,ıntıvl
interview,intıvüu
intestines,intestinz
into,intu
introduce,intrıdyus
invade,inveyd
invalid,invelid
invent,invent
invest,invest
investigate,ınvestıgeyt
invite,ınvayt
invoice,invoys
involve,involv
iron,ayrın
ironically,ayronikli
irregular,ıregulır
irritate,iriteyt
island,aylınd
issue,işuu
it,it
itch,itpi
item,aytım
jack,cek
jackal,cekıl
jacket,cekıt
jaguar,ceguar
jail,jeyl
jam,cem
january,cenueri
jar,caar
